title,price,location,bedrooms,bathrooms,Squared-Feet,category,property_type,agent_name,agent_contact,agent_email
25h Heimat | 2 BR Apartment,3900020,"Dubai, Burj Khalifa, downtown",2,3,1429,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
25h Heimat | 1 BR Apartment,2485110,"Dubai, Burj Khalifa, downtown",1,2,767,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Ellington DT1 | 3 BR Penthouse,14000000,"Dubai, Burj Khalifa, downtown",3,4,3938,Penthouse,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Ellington DT1 | 2 BR Apartment,5350000,"Dubai, Burj Khalifa, downtown",2,3,1527,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Ellington DT1 | 1 BR Apartment,2475000,"Dubai, Burj Khalifa, downtown",1,2,993,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Crescent | 3 BR Apartment,5374000,"Dubai, Burj Khalifa, downtown",3,4,1957,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Crescent | 2 BR Apartment,3759000,"Dubai, Burj Khalifa, downtown",2,3,1404,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Crescent | 1 BR Apartment,2154000,"Dubai, Burj Khalifa, downtown",1,2,906,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Heights | 4 BR Apartment,8500000,"Dubai, Burj Khalifa, downtown",4,5,2609,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Heights | 3 BR Apartment,6000000,"Dubai, Burj Khalifa, downtown",3,4,2354,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Heights | 2 BR Apartment,3900000,"Dubai, Burj Khalifa, downtown",2,3,1405,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
BLVD Heights | 1 BR Apartment | Downtown Dubai,2500000,"Dubai, Burj Khalifa, downtown",1,2,867,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Elite Downtown Residence | 3 BR Apartment,4900000,"Dubai, Burj Khalifa, downtown",3,4,1615,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Elite Downtown Residence | 2 BR Apartment,4700000,"Dubai, Burj Khalifa, downtown",2,3,1630,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Elite Downtown Residence | 1 BR Apartment,2170000,"Dubai, None, downtown",1,2,809,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Elite Downtown Residence | Studio Apartment,1250000,"Dubai, Burj Khalifa, downtown",Studio,1,431,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Rove Home | 2 BR Apartment,3811000,"Dubai, Burj Khalifa, downtown",2,3,1300,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Rove Home | 1 BR Apartment,2193000,"Dubai, Burj Khalifa, downtown",1,3,700,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Rove Home | Studio Apartment,1511000,"Dubai, Burj Khalifa, downtown",Studio,1,410,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Vida Residence | 5 BR Penthouse,42000000,"Dubai, Burj Khalifa, downtown",5,6,6699,Penthouse,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Vida Residence | 4 BR Apartment,15000000,"Dubai, Burj Khalifa, downtown",4,5,2800,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Vida Residence | 3 BR Apartment,5950000,"Dubai, Burj Khalifa, downtown",3,4,2012,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Vida Residence | 2 BR Apartment,4700000,"Dubai, Burj Khalifa, downtown",2,3,1385,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Vida Residence | 1 BR Apartment,2300000,"Dubai, Burj Khalifa, downtown",1,2,731,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Cayan Tower | 3 Bedroom Duplex Apartment,6000000,"Dubai, Marsa Dubai, Dubai Marina",3,4,2912,Duplex,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Al Majara 2 | 1 Bedroom Apartment,1595000,"Dubai, Marsa Dubai, Dubai Marina",1,2,840.98,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
52-42 Tower | 2 Bedroom Apartment,2400000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1562,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
52-42 Tower | 1 Bedroom Apartment,1700000,"Dubai, Marsa Dubai, Dubai Marina",1,2,729,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
52-42 Tower | 3 Bedroom Apartment,3175000,"Dubai, Marsa Dubai, Dubai Marina",3,4,1747,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Al Mass Villas | 3 Bedroom Villas,350000,"Dubai, Marsa Dubai, Dubai Marina",3,4,4600,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Al Yass | 2 Bedroom Apartment,1800000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1444,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Paloma Tower | 3 Bedroom Apartment,2900000,"Dubai, Marsa Dubai, Dubai Marina",3,4,2095,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Al Majara 5 | 1 Bedroom Apartment,1175000,"Dubai, Marsa Dubai, Dubai Marina",1,2,893,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Time Place Tower | 2 Bedroom Apartment,1350000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1226,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Bay Central | 1 Bedroom Apartment,650000,"Dubai, Marsa Dubai, Dubai Marina",1,2,692,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Diamond 4 | 1 Bedroom Apartment,800000,"Dubai, Marsa Dubai, Dubai Marina",1,2,776,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Bay Central | 3 Bedroom Apartment,1600000,"Dubai, Marsa Dubai, Dubai Marina",3,4,1400,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
The Torch Tower | 2 Bedroom Apartment,1200000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1300,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Diamond 4 | 2 Bedroom Apartment,850000,"Dubai, Marsa Dubai, Dubai Marina",2,2,1038,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Harbour Views 1 | 3 BR Apartment,2700000,"Dubai, Al khairan first, Dubai Creek Harbour",3,4,1526,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Dubai Creek Residence Tower 2 North | 1 BR Apartment,1399990,"Dubai, Al khairan first, Dubai Creek Harbour",1,2,1020,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Aquilegia | 3 BR Villa,1250000,"Dubai, Al Yufrah 2, Damac Hills 2",3,4,112.24,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Avencia 2 | 3 BR Villa,798000,"Dubai, Al Yufrah 2, Damac Hills 2",3,4,1703,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Claret | 4 BR Villa,1650000,"Dubai, Al Yufrah 2, Damac Hills 2",4,5,2400,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Floarea Residence | 2 BR Apartment,1300000,"Dubai, Al Barshaa South Third, Arjan",2,4,1159,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Floarea Residence | 1 BR Apartment,872000,"Dubai, Al Barshaa South Third, Arjan",1,2,750,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Floarea Residence | Studio Apartment,553000,"Dubai, Al Barshaa South Third, Arjan",Studio,1,409,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Arbor View | 3 BR Apartment,2500000,"Dubai, Al Barshaa South Third, Arjan",3,4,1670,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Arbor View | 2 BR Apartment,1900000,"Dubai, Al Barshaa South Third, Arjan",2,3,1204,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Arbor View | 1 BR Apartment,1500000,"Dubai, Al Barshaa South Third, Arjan",1,2,893,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Arbor View | Studio Apartment,818000,"Dubai, Al Barshaa South Third, Arjan",Studio,1,451,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
48 Parkside | 3 BR Apartment,1922960,"Dubai, Al Barshaa South Third, Arjan",3,4,1443,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
48 Parkside | 2 BR Apartment,1645790,"Dubai, Al Barshaa South Third, Arjan",2,3,1186,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
48 Parkside | 1 BR Apartment,1102050,"Dubai, Al Barshaa South Third, Arjan",1,2,748,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Insignia | 3 BR Apartment,2350000,"Dubai, Al Barshaa South Third, Arjan",3,4,2183,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Insignia | 2 BR Apartment,1774300,"Dubai, Al Barshaa South Third, Arjan",2,3,1177,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marquis Insignia | 1 BR Apartment,1195120,"Dubai, Al Barshaa South Third, Arjan",1,2,791,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
NAS 3 | 3 BR Apartment,2300000,"Dubai, Al Barshaa South Third, Arjan",3,4,1609,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
NAS 3 | 2 BR Duplex Apartment,2424960,"Dubai, Al Barshaa South Third, Arjan",2,3,1955,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
NAS 3 | 2 BR Apartment,1900000,"Dubai, Al Barshaa South Third, Arjan",2,3,1325,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
NAS 3 | 1 BR Apartment,1200000,"Dubai, Al Barshaa South Third, Arjan",1,2,892,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
NAS 3 | Studio Apartment,636000,"Dubai, Al Barshaa South Third, Arjan",Studio,1,454,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Gharbi 1 Residences | 2 BR Apartment,2049320,"Dubai, Al Barshaa South Third, Arjan",2,3,2069,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Gharbi 1 Residences | 1 BR Apartment,1150980,"Dubai, Al Barshaa South Third, Arjan",1,2,878,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Gharbi 1 Residences | Studio Apartment,801172,"Dubai, Al Barshaa South Third, Arjan",Studio,1,562,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Trinity | 3 BR Apartment,1952270,"Dubai, Al Barshaa South Third, Arjan",3,4,1394,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Trinity | 2 BR Apartment,1716860,"Dubai, Al Barshaa South Third, Arjan",2,3,1876,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Trinity | 1 BR Apartment,1164820,"Dubai, Al Barshaa South Third, Arjan",1,2,764,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
One Beverly  | 2 br  Apartment,1300000,"Dubai, Al Barshaa South Third, Arjan",2,3,1299,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
One Beverly | 1 BR Apartment,866000,"Dubai, Al Barshaa South Third, Arjan",1,2,800,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
One Beverly | Studio Apartment,675000,"Dubai, Al Barshaa South Third, Arjan",Studio,1,388,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Beverly Boulevard | 2 BR Apartment,1300000,"Dubai, Al Barshaa South Third, Arjan",2,3,1299,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Beverly Boulevard | 1 BR Apartment,866000,"Dubai, Al Barshaa South Third, Arjan",1,2,800,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Beverly Boulevard | Studio Apartment,537000,"Dubai, Al Barshaa South Third, Arjan",Studio,1,403,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The Central Downtown | 3 BR Apartment,2812890,"Dubai, Al Barshaa South Third, Arjan",3,4,2180,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The Central Downtown | 2 BR Apartment,1957890,"Dubai, Al Barshaa South Third, Arjan",2,3,1324,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The Central Downtown | 1 BR Apartment,2380890,"Dubai, Al Barshaa South Third, Arjan",1,2,1845,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
The Central Downtown | Studio Apartment,842888,"Dubai, Al Barshaa South Third, Arjan",Studio,1,478,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Avelon Boulevard | 2 BR Apartment,1795000,"Dubai, Al Barshaa South Third, Arjan",2,3,1564,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Avelon Boulevard | 1 BR Apartment,1198000,"Dubai, Al Barshaa South Third, Arjan",1,2,870,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Avelon Boulevard | Studio Apartment,705500,"Dubai, Al Barshaa South Third, Arjan",Studio,1,435,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Six Senses Residences | 5 BR Duplex Apartment,119988000,"Dubai, Marsa Dubai, Dubai Marina",5,6,14102,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Six Senses Residences | 4 BR Duplex Apartment,66203000,"Dubai, Marsa Dubai, Dubai Marina",4,5,9465,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Six Senses Residences | 4 BR Apartment,8677000,"Dubai, Marsa Dubai, Dubai Marina",4,5,3318,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Six Senses Residences | 3 BR Apartment,8789000,"Dubai, Marsa Dubai, Dubai Marina",3,4,3406,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Six Senses Residences | 2 BR Apartment,7358000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1977,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 4 BR Penthouse,60000000,"Dubai, Marsa Dubai, Dubai Marina",4,5,6330,Penthouse,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 4 BR Townhouses,23694800,"Dubai, Marsa Dubai, Dubai Marina",4,5,4592,Townhouse,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 3 BR Townhouses,17590100,"Dubai, Marsa Dubai, Dubai Marina",3,4,4258,Townhouse,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 4 BR Apartment,20839300,"Dubai, Marsa Dubai, Dubai Marina",4,5,4115,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 3 BR Apartment,13937900,"Dubai, Marsa Dubai, Dubai Marina",3,4,2844,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Habtoor Grand Residences | 2 BR Apartment,11091600,"Dubai, Marsa Dubai, Dubai Marina",2,3,2101,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Franck Muller Aeternitas Tower | 4 BR Apartment,16100000,"Dubai, Marsa Dubai, Dubai Marina",4,5,5434,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Franck Muller Aeternitas Tower | 3 BR Apartment,5500000,"Dubai, Marsa Dubai, Dubai Marina",3,4,2302,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Franck Muller Aeternitas Tower | 2 BR Apartment,3500000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1511,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Franck Muller Aeternitas Tower | 1 BR Apartment,2000000,"Dubai, Marsa Dubai, Dubai Marina",1,2,872,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Liv Residence | 3 BR Apartment,5500000,"Dubai, Marsa Dubai, Dubai Marina",3,4,1764,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Liv Residence | 2 BR Apartment,4900000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1767,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Liv Residence | 1 Br Apartment,2500000,"Dubai, Marsa Dubai, Dubai Marina",1,2,919,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Liv Residence | Studio Apartment,1650000,"Dubai, Marsa Dubai, Dubai Marina",Studio,1,521,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Shores | 5 BR penthouse,21000000,"Dubai, Marsa Dubai, Dubai Marina",5,6,8160,Penthouse,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Shores | 4 BR Apartment,6800000,"Dubai, Marsa Dubai, Dubai Marina",4,5,2410,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Shores | 3 BR Apartment,3400000,"Dubai, Marsa Dubai, Dubai Marina",3,4,1848,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Shores | 2 BR Apartment,2600000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1220,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Marina Shores | 1 BR Apartment,1500000,"Dubai, Marsa Dubai, Dubai Marina",1,2,750,Apartment,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
SLS Dubai Hotels and Residences | 2-Bedroom Apartment,7462760,"Dubai, Al Khaleej Al Tejari, downtown",2,3,1864,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
jumeirah living marina gate | 5br Villas,18650000,"Dubai, Marsa Dubai, Dubai Marina",5,6,3961,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
jumeirah living marina gate | 2br Villas,10800000,"Dubai, Marsa Dubai, Dubai Marina",2,3,2549,Villa,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
SLS Dubai Hotels and Residences  | 1 bedroom  duplex  apartment,3465820,"Dubai, Al Khaleej Al Tejari, downtown",1,2,1163,Duplex,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
SLS Dubai Hotels and Residences  | 1 bedroom apartment,3955410,"Dubai, Al Khaleej Al Tejari, downtown",1,2,1084,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
SLS Dubai Hotels and Residences  | studio apartment,1575000,"Dubai, Al Khaleej Al Tejari, downtown",Studio,1,650,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
jumeirah living marina gate | 3br Apartment,8370000,"Dubai, Marsa Dubai, Dubai Marina",3,4,2130,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
jumeirah living marina gate | 2br Apartment,4200000,"Dubai, Marsa Dubai, Dubai Marina",2,3,1422,Duplex,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Jumeirah Living Marina Gate | 1 BR Apartment,2590000,"Dubai, Marsa Dubai, Dubai Marina",1,2,791,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Jumeirah Living Marina Gate | Studio Apartment | Dubai Marina,2270000,"Dubai, Marsa Dubai, Dubai Marina",Studio,1,612,Apartment,Sale,Khalid Khan,+971509026757,marketing@apilproperties.com
Kempinski Marina Residences | 5BR Duplex Apartment,33599100,"Dubai, Marsa Dubai, Dubai Marina",5,6,12634,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Kempinski Marina Residences | 4BR Duplex Apartment,17117500,"Dubai, Marsa Dubai, Dubai Marina",4,5,6519,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Kempinski Marina Residences | 3BR Duplex Apartment,8035000,"Dubai, Marsa Dubai, Dubai Marina",3,4,3049,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
Kempinski Marina Residences | 2BR Duplex Apartment,4865640,"Dubai, Marsa Dubai, Dubai Marina",2,3,2042,Duplex,Off-Plan,Khalid Khan,+971509026757,marketing@apilproperties.com
